영화id,제목,장르,평점,줄거리
99702,007 노 타임 투 다이,액션,6.82,가장 강력한 운명의 적과 마주하게된 제임스 본드의 마지막 미션이 시작된다
148043,117편의 러브레터,멜로/로맨스,9.00,"1945년 홀로코스트에서 살아남은 헝가리 청년 '미클로시'는 해방 후 폐질환으로 6개월 시한부 선고를 받는다. 하지만 그는 삶을 포기하지 않을 이유를 찾기 위해117명의 여성들에게 편지를 보내고, 17명에게 답장을 받는다.그 중 열아홉 살 소녀 ‘릴리’의 편지는 ‘미클로시’의 가슴을 뛰게 하고, 어느새 둘의 편지는 러브레터가 된다.“나를 보러 올 수 있어요?”라고 묻는 ‘릴리’.“건강해야 할 이유가 생겼어요”라고 답하는 ‘미클로시’.두 사람은 주변의 만류에도 불구하고 결혼을 결심하는데…삶을 포기하지 않은 사람들에게 당도한 사랑의 기적을 만난다!"
204776,120시간: 로스트 인 아웃백,드라마,5.00,"호주로 여행을 떠나온 미국인 커플 리사와 웨이드.비행기 안에서 리사가 웨이드의 청혼을 거절하는 바람에 냉랭해진 둘은 호주 여행을 시작한다. 계획대로 해변에 갔다가 웨이드는 해파리에 쏘여 다리를 다치고,이 일로 둘은 계획을 바꾸어 호주 오지인 아웃백으로 향한다.아무도 없는 허허벌판에서 GPS가 제대로 작동하지 않자 둘은 차에서 내려 근처 언덕에 올라가 근처에 무엇이 있나 살펴보기로 한다.하지만 언덕 위에서도 보이는 것은 없고 날은 점점 어두워지기 시작해 차로 돌아가는 길마저 확실하지 않은데..."
201842,"2021 스웨그 에이지 : 외쳐, 조선!",공연실황,8.00,"삶의 고단함과 역경을 시조 속에 담아 훌훌 털어버렸던 백성들은 역모 사건으로 시조 활동이 금지되면서 자유도 행복도 잊은 채 살아간다.그러던 중 15년 만에 누구나 참여할 수 있는 조선시조자랑이 열리게 되고, 탈 속에 정체를 감추고 양반들의 악행을 파헤쳐 행복한 세상을 만들고자 조직된 비밀시조단 ‘골빈당’은 이것을 기회 삼아 조선에 새로운 바람을 불러일으키고자 한다.한편, 왕의 비선실세이자 시조대판서인 홍국은 자신에 대한 악덕한 소문을 퍼트리고 다닌다는 이유를 들어 골빈당을 잡으려는 음모를 꾸미는데…"
198765,2067,SF,3.70,"지구 종말이 도래하고, 산소가 중요한 화폐가 된 서기 2067년.‘타임머신’이라고 불리는 일명 ‘크로니컬’이 발명되고,407년 뒤, 2474년 미래에서 보낸 메시지가 도착한다.인류의 마지막 희망, 미래를 구해야만 한다"
202533,300: 전사의 귀환,액션,1.00,"로마 제국의 지배를 받던 브리튼은 로마 군대 철수 후 자유를 얻는다.그러나 계속되는 픽트족의 침략에 브리튼의 왕 '보티건'은 두려움에 사로잡힌다.픽트족에 맞설만한 힘이 없는 보티건은 결국 색슨족과 동맹을 맺게 되고,색슨족의 지배자들은 자신의 백성들을 이끌고 브리튼을 방문하는데..."
200743,365일: 비밀의 여자,스릴러,1.50,갑작스러운 어머니의 죽음으로 혼자가 된 브랜던.어려운 형편으로 힘겹게 장례를 준비하는 중에 도움의 손길을 내민 피오나와 가까워진다.장례식장을 운영하는 피오나와 언니 부부는 브랜던을 저녁 식사에 초대하고처음 맛보는 요리와 아름다운 노래로 브랜던은 상처받은 마음에 위로를 얻는다.자연스럽게 서로의 감정을 확인하는 브랜던과 피오나.하지만 피오나의 사랑에는 어둡고 위험한 비밀이 숨겨져 있는데...
174831,3개의 얼굴들,드라마,8.67,"유명배우 베흐나즈 자파리에게 먼 시골 마을에 사는 소녀의 영상이 전달된다. 가족들이 배우가 되겠다는 자신의 꿈을 반대한다며, 자살을 암시하는 자극적인 영상이었다. 직접 확인하기로 결정한 베흐나즈 자파리는 영화감독 자파르 파나히와 함께 소녀를 찾아 먼 길을 떠난다."
195072,438일,드라마,8.43,"2011년 6월 28일 밤 스웨덴 기자 마틴과 요한은 소말리아에서 에티오피아로 불법 입국한다. 수개월에 걸친 탐사취재 끝에 마침내 석유전쟁에 의한 오가덴 지역 주민 피해의 실체를 밝히려던 순간,에티오피아 군대에 의해 테러협의로 붙잡혀 징역 11년형을 선고받는데…스웨덴 기자 마틴 시뷔에와 요한 페르손의 악몽 같은 실화"
163676,8년을 뛰어넘은 신부,멜로/로맨스,9.10,"결혼을 약속한 히사시와 마이. 하지만 마이에게 갑자기 병이 생기고 혼수상태가 되고 만다.히사시는 마이의 부모님에게 다른 여자를 만나라는 충고를 듣지만, 그녀의 곁에서 떠나지 않고 회복하는 것을 기다린다.그 후, 눈을 뜬 마이는 기억상실증에 걸려 히사시가 누구인지 모르는 상태가 되어버린다.충격을 받은 히사시는 좌절하지 않고 매일같이 그녀를 찾아가는데...."
